,CD8+ T cells,NKT cells,CD4+ T cells,HSPCs,Erythrocytes,Plasmacytoid dendritic cells,Monocyte-derived dendritic cells,CD16+ Monocytes,CD14+ Monocytes,NK cells,Erythroid progenitors,Plasma cells,Megakaryocyte progenitors,CD10+ B cells,CD20+ B cells,Monocyte progenitors
0,IFITM1,CCL5,IL7R,SPINK2,BPGM,LILRA4,FCER1A,FCGR3A,FCN1,PRF1,KCNH2,MZB1,ITGA2B,VPREB1,MS4A1,MPO
1,CCR7,GZMK,CD3D,CRHBP,SNCA,SERPINF1,CLEC10A,CDKN1C,S100A12,KLRD1,FAM178B,FKBP11,GATA2,IGLL1,CD79A,AZU1
2,CD3E,GZMA,CD3E,MDK,SLC25A37,IRF7,HLA-DQA1,LYPD2,VCAN,KLRF1,GFI1B,TNFRSF17,CSF2RB,DNTT,HLA-DQB1,ELANE
3,MAL,CST7,LTB,EGFL7,DCAF12,PLD4,CST3,MS4A7,CD14,SPON2,KLF1,DERL3,CNRIP1,EBF1,BANK1,RNASE2
4,LTB,DUSP2,MAL,CYTL1,FECH,SCT,ALDH2,HES4,MNDA,GNLY,HEBP1,SEC11C,CYTL1,VPREB3,RALGPS2,MGST1
5,LCK,NKG7,TRAT1,PRSS57,TMCC2,IL3RA,HLA-DRB1,CKB,S100A9,IL2RB,CA2,FCRL5,PKIG,AKAP12,HLA-DQA1,MS4A3
6,FLT3LG,KLRB1,FLT3LG,MYCT1,BNIP3L,IRF8,HLA-DPA1,IFITM3,S100A8,FGFBP2,TUBG1,ERLEC1,PHTF1,CD79B,CD22,PRSS57
7,CD8B,LYAR,TNFAIP3,MSRB3,STRADB,GZMB,SAMHD1,LST1,TYROBP,XCL2,UBAC1,CD38,PRSS57,MME,BLK,RAB32
8,LEF1,CTSW,CD2,BAALC,HEMGN,LRRC26,HLA-DPB1,ZNF703,SERPINA1,NKG7,BLVRB,JSRP1,TPM1,CD9,HLA-DPA1,FABP5
9,OXNAD1,GZMH,IL32,MSI2,KRT1,UGCG,HLA-DMB,RHOC,CSTA,CTSW,APOC1,XBP1,CDK6,CYGB,NFKBID,CFD
10,CD3G,GZMM,CD3G,SOX4,NCOA4,TCF4,CD1C,SERPINA1,LYZ,CCL4,GATA1,FKBP2,ALDH1A1,STMN1,CD79B,ANKRD28
11,CD3D,IL32,CD40LG,FHL1,MKRN1,SMPD3,HLA-DQB1,CAMK1,CTSS,GZMB,TUBB,ITM2C,CMTM5,CD79A,CD19,LYZ
12,CD7,CD8A,TNFRSF4,ANKRD28,GMPR,ITM2C,ANXA2,LRRC25,CST3,CD7,NFIA,HERPUD1,PDLIM1,SOX4,HLA-DRA,CSTA
13,SH3YL1,CD3E,LCK,HOPX,MPP1,CCDC50,HLA-DRA,AIF1,S100A11,HOPX,TSPAN17,SPAG4,RBPMS2,RCSD1,CD74,SRGN
14,NELL2,TNFAIP3,IFITM1,DDAH2,HBA1,APP,AXL,TCF7L2,G0S2,GZMA,MBOAT2,CHPF,SOX4,CD72,VPREB3,PLAC8
15,IL32,CD3D,TCF7,PCDH9,BLVRB,TPM2,COTL1,FCER1G,MS4A6A,CST7,TMEM56,SLAMF7,HDC,POU2AF1,HLA-DPB1,LGALS1
16,CD27,CD8B,CD69,BEX2,LGALS3,PPP1R14B,HLA-DMA,SAT1,TYMP,KLRB1,FHL2,TNFRSF13B,APOC1,PAX5,HLA-DRB1,TNFSF13B
17,CPA5,RORA,PIK3IP1,RAMP1,FBXO7,IRF4,CACNA2D3,TPPP3,FCER1G,CD160,HIST1H4C,BHLHE41,CLC,LAT2,HLA-DRB5,SERPINB1
18,PIK3IP1,CMC1,CD7,MEIS1,TRIM58,CLEC4C,CD74,VMO1,LST1,SH2D1B,AK1,BRSK1,ARHGAP6,BLNK,ARHGAP24,GSTP1
19,LRRN3,KLRG1,AP3M2,TMEM163,PDZK1IP1,PTCRA,LYZ,COTL1,CLEC7A,NCAM1,HES6,SPCS2,ALOX12,FAM111B,ADAM28,CCL23
