Neural Anterior,Mesoderm,Epidermal,Neural Posterior,Neural Crest,Endoderm,Neural Mid,Germline
rx1,hbae3,cfl1l,prtga,crestin,cldnc,eng2b,tdrd7a
six3b,LOC100334599,cyt1,meis2b,wu:fc46h12,aqp12,otx2,h1m
fabp7a,hbbe1.1,krt4,gadd45gb.1,impdh1b,LOC565781,eng2a,zgc:171474
six3a,hbbe3,cyt1l,LOC797032,ednrab,ptprfa,otx1a,nanos3
foxg1a,si:ch211-5k11.2,si:dkey-152p16.6,hoxb3a,gch2,nr5a2,LOC103911157,ddx4
fezf2,si:ch211-5k11.12,padi2,casz1,sox10,rltgr,otx1b,dnd1
myca,MGC173646,epcam,dlb,prdx1,pklr,ctnnb1,pld6
zfp36l1a,ap2m1a,krt5,lrrn1,akr1b1,pdx1,id1,ca15b
rx2,he1a,cldni,elavl3,slc2a11b,serpinf2b,LOC100534909,zgc:154169
six6b,wu:fa26c03,atp1b1b,tubb5,paics,krt18,her2,LOC100535654
vsx2,si:dkey-239j18.3,gsnb,gbx1,LOC103908616,anxa4,pax5,LOC103911757
pbx3b,LOC100537766,zgc:113944,cyp26b1,pah,slc13a2,efna2a,piwil1
myt1a,slc4a1a,tmsb4x,tuba1c,tspan36,epcam,mdka,LOC103909725
foxd1l,cpox,myh9a,dla,rgs5b,pax1b,helt,LOC100538298
stra6,alas2,tp63,nova2,tyrp1b,irx7,hmgn2,si:dkeyp-110e4.3
fabp11a,ap1b1,LOC569335,nhlh2,si:dkey-226k3.4,LOC100534866,cnpy1,LOC571363
tbx2b,hbbe2,zgc:113413,cux2a,glulb,LOC793710,angptl4,si:dkey-34o23.2
nr2e1,hbae1,icn,ebf2,LOC103910711,krt8,her3,si:ch211-125e6.13
eomesa,tspo,oclna,LOC798927,gstp1,LOC100003669,her15.1,LOC101882294
vax1,fth1a,icn2,tuba1a,LOC103911087,elf3,fosab,hspb1
